ID #,Date In,ST,TT,Wheel,Color,ColorName,Brand,Model,Quality,Condition,Status,DateOut,Value,Remarks,,,
183,03/13/11,0,,630,808080,Gray,Cierra,12 Speed Racing,,,Earn a Bike,,,,,,
193,03/17/11,0,,559,808080,Gray,Gary Fisher,Mendota,,,,,,,,,
215,02/19/11,15.5,,559,808080,Gray,Jamis,Explorer 2.0,B,C,,,,Rack,,,
249,,,,,808080,Gray,,,,,As-is,05/23/11,,Volunteer Hours,,,
272,,,,,808080,Gray,Huffy,Tantrum,,,Buildathon,07/10/13,,,,,
274,04/11/11,,,630,808080,Gray,Peugeot,Iseran,B,B,Earn a Bike,05/05/11,,Found in shop/straight bars,,,
275,04/11/11,,,,808080,Gray,Trek,700 Multitrack,A,B,,,,Needs headset work,,,
277,04/11/11,22,22,630,808080,Gray,Peugeot,Road 12 speed,A,F,,,,Bent left chainstay,,,
311,4/21/2011,22.5,24,622,808080,Gray,,,C,D,,,,,,,
312,4/23/2011,,,,808080,Gray,Schwinn,World Sport,C,C,,,,Big,,,
337,05/07/11,16.5,21,559,808080,Gray,Nishiki,Blazer,B,B,,,,,,,
357,05/21/11,17.5,23,559,808080,Gray,Raleigh,MSO,C,C,As-is,07/10/13,,Volunteer Hours,,,
409,06/06/11,22,21,,808080,Gray,Lite Speed,Obed,C,C,,,,,,,
421,06/06/11,23,22,,808080,Gray,Giant,Boulder,,,,,,,,,
429,06/20/11,19,16,559,808080,Gray,Raleigh,FS Mountain 6061,,,,,,,,,
476,06/17/11,20,22,559,808080,Gray,Gary Fisher,Advance,A,C,Youth,07/16/11,,Frame,,,
703,07/23/11,8,18,406,808080,Gray,Pacific,S2II,B,B,,,,,,,
707,07/23/11,16.5,21.5,559,808080,Gray,Raleigh,Venture,B,C,,,,,,,
744,08/04/11,23,22,559,808080,Gray,Columbia,,,,,,,,,,
761,08/10/11,,,,808080,Gray,Schwinn,World Sport,,,Earn a Bike,08/27/11,,,,,
763,08/10/11,,,,808080,Gray,Huffy,Alumina 8250,,,Scrap,08/15/11,,,,,
792,08/13/11,,,,808080,Gray,Marin,MBX50,,,Scrap,09/12/11,,,,,
802,08/12/11,,,,808080,Gray,Huffy,,,,,,,,,,
807,08/13/11,,,,808080,Gray,Soma,Generation,,,Earn a Bike ,,,,,,
821,08/13/11,,,,808080,Gray,Gary Fisher,Advantage,,,As-is,09/08/11,,,,,
838,08/18/11,18.5,20,559,808080,Gray,Schwinn,Sidewinder,B,B,,,,,,,
911,09/12/11,25,21.75,630,808080,Gray,,,A,F,,,,,,,
916,09/17/11,17,22,559,808080,Gray,Jeep,,B,B,As-is,09/22/11,100,100, Coaster Brake,,
923,09/21/11,17,20.5,622,808080,Gray,Gary Fisher,Avant Garde,A,B,,,,,,,
931,09/29/11,,,,808080,Gray,,,D,C,,,,,,,
953,10/13/11,18,22,559,808080,Gray,Schwinn,Sierra,C,C,Earn a Bike ,,,,,,
969,06/30/11,,,,808080,Gray,Viscount,,,,As-is,07/16/11,,,,,
978,02/19/11,22,,630,808080,Gray,Huffy,Carrera,D,D,Scrap,09/15/11,,,,,
8,02/19/11,21,,590,0000FF,Blue,Free Spirit,Sheffield,C,C,Earn a Bike ,,45,Earn a Bike45,,,
9,02/19/11,20,,590,0000FF,Blue,Sears (Austria),,C,C,,,,,,,
10,02/19/11,18,,590,0000FF,Blue,Murray,Spectra,D,C,Scrap,04/04/11,,,,,
